title,price_mad,breed,gender,age,height_cm,url,location
"Westphalian, Gelding, 5 years, 16 hh, Sorrel",155150,Westphalian,Gelding,5.0,,https://www.ehorses.com/westphalian-gelding-5years-16-hh-sorrel-showjumpers-eventinghorses-leisurehorses-dressagehorses-gummersbach/4662797.html,"Gummersbach, DE"
"German Riding Pony, Mare, 3 years, 14,1 hh, Chestnut-Red",160500,Pony,Mare,3.0,,https://www.ehorses.com/german-riding-pony-mare-3years-141-hh-chestnut-red-dressagehorses-breedinghorses-showjumpers-leisurehorses-luenen/4722193.html,"Lünen, DE"
"PRE, Stallion, 3 years, 16 hh, Perlino",133750,Andalusian,Stallion,3.0,,https://www.ehorses.com/pre-stallion-3years-16-hh-perlino-showhorses-working-equitation-horses-breedinghorses-alcoialcoy/4497033.html,"Alcoi/Alcoy, ES"
"Lusitano Mix, Mare, 5 years, 16 hh, Palomino",133750,Lusitano,Mare,5.0,,https://www.ehorses.com/lusitano-mare-5years-16-hh-palomino-working-equitation-horses-showhorses-endurancehorses-leisurehorses-alcoialcoy/4572772.html,"Alcoi/Alcoy, ES"
"German Riding Pony, Mare, 5 years, 14,2 hh, Buckskin",235399,Pony,Mare,5.0,,https://www.ehorses.com/german-riding-pony-mare-5years-142-hh-buckskin-dressagehorses-breedinghorses-showjumpers-wehringen/4749432.html,"Wehringen, DE"
"Oldenburg-International (OS), Mare, 4 years, 16,2 hh, Grey",96300,Oldenburg,Mare,4.0,,https://www.ehorses.com/oldenburg-international-os-mare-4years-162-hh-grey-showjumpers-breedinghorses-zuelpich/4614712.html,"Zülpich, DE"
"German Riding Pony, Stallion, 1 year, Dun",42800,Pony,Stallion,,,https://www.ehorses.com/german-riding-pony-stallion-1year-dun-dressagehorses-eventinghorses-showjumpers-leisurehorses-aitrang/4489444.html,"Aitrang, DE"
"Oldenburg-International (OS), Gelding, 12 years, 17,3 hh, Chestnut-Red",1498000,Oldenburg,Gelding,12.0,,https://www.ehorses.com/oldenburg-international-os-gelding-12years-173-hh-chestnut-red-showjumpers-leoncin/4624207.html,"Leoncin, PL"
"Hanoverian, Gelding, 8 years, 16,2 hh, Grey",856000,Hanoverian,Gelding,8.0,,https://www.ehorses.com/hanoverian-gelding-8years-162-hh-grey-showjumpers-secymin-polski/4740081.html,"Secymin Polski, PL"
"Oldenburg-International (OS), Stallion, 4 years, 16,1 hh, Black",52965,Oldenburg,Stallion,4.0,,https://www.ehorses.com/oldenburg-international-os-stallion-4years-161-hh-black-showjumpers-eventinghorses-sire-zieuwent/4749404.html,"Zieuwent, NL"
"Westphalian, Gelding, 11 years, 16 hh, Bay-Dark",116629,Westphalian,Gelding,11.0,,https://www.ehorses.com/westphalian-gelding-11years-16-hh-bay-dark-showjumpers-leisurehorses-dressagehorses-overath/4707469.html,"Overath, DE"
"PRE Mix, Gelding, 6 years, 16,2 hh, Grey",133750,Andalusian,Gelding,6.0,,https://www.ehorses.com/pre-gelding-6years-162-hh-grey-dressagehorses-leisurehorses-barcelona/4749387.html,"Barcelona, ES"
"PRE Mix, Mare, 7 years, 15,2 hh, Bay",80250,Andalusian,Mare,7.0,,https://www.ehorses.com/pre-mare-7years-152-hh-bay-dressagehorses-leisurehorses-alicantealacant/4749381.html,"Alicante/Alacant, ES"
"PRE Mix, Stallion, 4 years, 15,1 hh, Chestnut-Red",80250,Andalusian,Stallion,4.0,,https://www.ehorses.com/pre-stallion-4years-151-hh-chestnut-red-baroquehorses-working-equitation-horses-leisurehorses-dressagehorses-rafelguaraf/3600069.html,"Rafelguaraf, ES"
"Andalusian, Stallion, 7 years, 15,2 hh, Perlino",267500,Andalusian,Stallion,7.0,,https://www.ehorses.com/andalusian-stallion-7years-152-hh-perlino-dressagehorses-working-equitation-horses-baroquehorses-leisurehorses-ermelo/4737246.html,"Ermelo, NL"
"PRE Mix, Stallion, 4 years, 17,1 hh, Grey",321000,Andalusian,Stallion,4.0,,https://www.ehorses.com/pre-stallion-4years-171-hh-grey-dressagehorses-leisurehorses-sevilla/4749370.html,"Sevilla, ES"
"Westphalian, Gelding, 7 years, 16,2 hh, Brown",315650,Westphalian,Gelding,7.0,,https://www.ehorses.com/westphalian-gelding-7years-162-hh-brown-showjumpers-eventinghorses-showhunter-dressagehorses-dornburg/4553365.html,"Dornburg, DE"
"Haflinger, Gelding, 13 years, 14,2 hh, Chestnut-Red",26750,Haflinger,Gelding,13.0,,https://www.ehorses.com/haflinger-gelding-13years-142-hh-chestnut-red-leisurehorses-dressagehorses-riedersdorfpabneukirchen/4745862.html,"RiedersdorfPabneukirchen, AT"
"Haflinger, Gelding, 13 years, 14,2 hh, Chestnut-Red",26750,Haflinger,Gelding,13.0,,https://www.ehorses.com/haflinger-gelding-13years-142-hh-chestnut-red-leisurehorses-dressagehorses-pabneukirchen/4747605.html,"Pabneukirchen, AT"
"Haflinger, Stallion, 2 years, 14,2 hh",32099,Haflinger,Stallion,2.0,,https://www.ehorses.com/haflinger-stallion-2years-142-hh-dressagehorses-showjumpers-carriagehorses-suhlendorf/4021169.html,"Suhlendorf, DE"
"Holstein, Mare, 7 years, 16 hh, Brown",230049,Holsteiner,Mare,7.0,,https://www.ehorses.com/holstein-mare-7years-16-hh-brown-showjumpers-eventinghorses-leisurehorses-dressagehorses-loerrach/4453451.html,"Lörrach, DE"
"Hanoverian, Mare, 6 years, 16,1 hh, Bay-Dark",267500,Hanoverian,Mare,6.0,,https://www.ehorses.com/hanoverian-mare-6years-161-hh-bay-dark-dressagehorses-breedinghorses-leisurehorses-isernhagen/4707121.html,"Isernhagen, DE"
"Shire Horse, Gelding, 5 years, 16 hh, Can be white",116629,Shire,Gelding,5.0,,https://www.ehorses.com/shire-horse-gelding-5years-16-hh-can-be-white-leisurehorses-ried-im-innkreis/4435510.html,"Ried im Innkreis, AT"
"Andalusian, Gelding, 11 years, 16,1 hh, Grey-Dapple",35350,Andalusian,Gelding,11.0,,https://www.ehorses.com/andalusian-gelding-11years-161-hh-grey-dapple-trailhorses-ranch-riding-horses-ocala-fl/4103068.html,"Ocala FL, US"
"Hanoverian, Mare, 4 years, 16 hh, Chestnut-Red",90950,Hanoverian,Mare,4.0,,https://www.ehorses.com/hanoverian-mare-4years-16-hh-chestnut-red-dressagehorses-eventinghorses-showjumpers-leisurehorses-surwold/4690813.html,"Surwold, DE"
"Andalusian, Stallion, 5 years, 16,1 hh, Brown",144450,Andalusian,Stallion,5.0,,https://www.ehorses.com/andalusian-stallion-5years-161-hh-brown-dressagehorses-working-equitation-horses-eventinghorses-leisurehorses-ermelo/4747555.html,"Ermelo, NL"
"Andalusian, Stallion, 5 years, 16,2 hh, White",165850,Andalusian,Stallion,5.0,,https://www.ehorses.com/andalusian-stallion-5years-162-hh-white-dressagehorses-working-equitation-horses-baroquehorses-leisurehorses-ermelo/4746581.html,"Ermelo, NL"
"Andalusian, Stallion, 7 years, 15,2 hh, Perlino",267500,Andalusian,Stallion,7.0,,https://www.ehorses.com/andalusian-stallion-7years-152-hh-perlino-dressagehorses-working-equitation-horses-baroquehorses-leisurehorses-ermelo/4737246.html,"Ermelo, NL"
"Andalusian, Stallion, 4 years, 15,2 hh, Grey-Dapple",160500,Andalusian,Stallion,4.0,,https://www.ehorses.com/andalusian-stallion-4years-152-hh-grey-dapple-dressagehorses-working-equitation-horses-baroquehorses-leisurehorses-ermelo/4739548.html,"Ermelo, NL"
"Classic Pony, Gelding, 5 years, 12 hh, Grey",107000,Pony,Gelding,5.0,,https://www.ehorses.com/classic-pony-gelding-5years-12-hh-grey-dressagehorses-showjumpers-xabiajavea/4699708.html,"Xabia/Javea, ES"
"Hanoverian, Stallion, 7 years, 17 hh, Brown",321000,Hanoverian,Stallion,7.0,,https://www.ehorses.com/hanoverian-stallion-7years-17-hh-brown-dressagehorses-showjumpers-el-catllar/4749243.html,"El Catllar, DE"
"Hanoverian, Gelding, 4 years, 16 hh, Chestnut-Red",588500,Hanoverian,Gelding,4.0,,https://www.ehorses.com/hanoverian-gelding-4years-16-hh-chestnut-red-dressagehorses-working-equitation-horses-coin/4735214.html,"Coin, ES"
"Oldenburg, Gelding, 7 years, Chestnut-Red",187250,Oldenburg,Gelding,7.0,,https://www.ehorses.com/oldenburg-gelding-7years-chestnut-red-dressagehorses-wilnsdorfwilnsdorf/4532452.html,"WilnsdorfWilnsdorf, DE"
"KWPN, Gelding, 6 years, 16.1 hh, Black",160500,KWPN,Gelding,6.0,,https://www.ehorses.com/kwpn-gelding-6years-16-1-hh-black-leisurehorses-dressagehorses-weil-am-rhein/4545896.html,"Weil am Rhein, DE"
"Oldenburg, Gelding, 4 years, 16.1 hh, Smoky-Black",83460,Oldenburg,Gelding,4.0,,https://www.ehorses.com/oldenburg-gelding-4years-16-1-hh-smoky-black-dressagehorses-eventinghorses-leisurehorses-muegeln/4663511.html,"Mügeln, DE"
"Hanoverian, Mare, 2 years, Bay-Dark",69550,Hanoverian,Mare,2.0,,https://www.ehorses.com/hanoverian-mare-2years-bay-dark-dressagehorses-selzthal/4749224.html,"Selzthal, AT"
"Shetland Ponies, Gelding, 15 years",8024,Shetland,Gelding,15.0,,https://www.ehorses.com/shetland-ponies-gelding-15years-leisurehorses-selzthal/4735349.html,"Selzthal, AT"
"Thoroughbred, Mare, 4 years, 16.2 hh, Brown",80250,Thoroughbred,Mare,4.0,,https://www.ehorses.com/thoroughbred-mare-4years-16-2-hh-brown-showjumpers-hunter-eventinghorses-leisurehorses-renswoude/4742378.html,"Renswoude, NL"
"KWPN, Mare, 12 years, 16.3 hh, Smoky-Black",321000,KWPN,Mare,12.0,,https://www.ehorses.com/kwpn-mare-12years-16-3-hh-smoky-black-dressagehorses-dordrecht/4607662.html,"Dordrecht, NL"
"German Riding Pony, Gelding, 5 years, 14 hh, Grey",160500,Pony,Gelding,5.0,,https://www.ehorses.com/german-riding-pony-gelding-5years-14-hh-grey-showjumpers-showhunter-dressagehorses-buchen-odenwald/4689527.html,"Buchen (Odenwald), DE"
"Oldenburg, Mare, 5 years, 17 hh, Grey",321000,Oldenburg,Mare,5.0,,https://www.ehorses.com/oldenburg-mare-5years-17-hh-grey-dressagehorses-showjumpers-sankt-wolfgang/4067018.html,"Sankt Wolfgang, DE"
"PRE Mix, Stallion, 5 years, 16,1 hh, Bay-Dark",267500,Andalusian,Stallion,5.0,,https://www.ehorses.com/pre-stallion-5years-161-hh-bay-dark-dressagehorses-showhorses-baroquehorses-leisurehorses-martfeld/4709558.html,"Martfeld, DE"
"Andalusian, Stallion, 3 years, Palomino",37450,Andalusian,Stallion,3.0,,https://www.ehorses.com/andalusian-stallion-3years-palomino-leisurehorses-chiclana/4732465.html,"Chiclana, ES"
"Welsh B, Gelding, 3 years, 12 hh, Grey",30494,Welsh,Gelding,3.0,,https://www.ehorses.com/welsh-b-gelding-3years-12-hh-grey-showhunter-aalten/4749148.html,"Aalten, NL"
"Andalusian, Mare, 5 years, 15,2 hh, Brown",42586,Andalusian,Mare,5.0,,https://www.ehorses.com/andalusian-mare-5years-152-hh-brown-leisurehorses-vejer-de-la-frontera/4749135.html,"Vejer de la Frontera, ES"
"Westphalian, Gelding, 5 years, 17 hh, Bay-Dark",214000,Westphalian,Gelding,5.0,,https://www.ehorses.com/westphalian-gelding-5years-17-hh-bay-dark-dressagehorses-leisurehorses-rosendahl/4683634.html,"Rosendahl, DE"
"KWPN, Gelding, 6 years, 15,3 hh, Black",262150,KWPN,Gelding,6.0,,https://www.ehorses.com/kwpn-gelding-6years-153-hh-black-dressagehorses-leisurehorses-neuss/4731804.html,"Neuss, DE"
"KWPN, Gelding, 3 years, 16 hh, Bay-Dark",53500,KWPN,Gelding,3.0,,https://www.ehorses.com/kwpn-gelding-3years-16-hh-bay-dark-dressagehorses-leisurehorses-neuss/4733557.html,"Neuss, DE"
"Oldenburg, Stallion, 8 years, 17 hh, Brown",1070000,Oldenburg,Stallion,8.0,,https://www.ehorses.com/oldenburg-stallion-8years-17-hh-brown-dressagehorses-ritzing/4630903.html,"Ritzing, AT"
